# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.4900,-2.6400,0.5474,0.5474
-1.4900,-2.6500,0.5457,0.5457
-1.4900,-2.6600,0.5434,0.5434
-1.4900,-2.6700,0.5413,0.5413
-1.5000,-2.6800,0.5492,0.5492
-1.5000,-2.6900,0.5474,0.5474
-1.5000,-2.7000,0.5457,0.5457
-1.5000,-2.7100,0.5434,0.5434
-1.5100,-2.7200,0.5511,0.5511
-1.5100,-2.7300,0.5492,0.5492
-1.5100,-2.7400,0.5474,0.5474
-1.5100,-2.7500,0.5459,0.5459
-1.5200,-2.7600,0.5544,0.5544
-1.5200,-2.7700,0.5533,0.5533
-1.5200,-2.7800,0.5523,0.5523
-1.5200,-2.7900,0.5511,0.5511
-1.5300,-2.8000,0.5590,0.5590
-1.5300,-2.8100,0.5573,0.5573
-1.5300,-2.8200,0.5558,0.5558
-1.5400,-2.8300,0.5644,0.5644
-1.5400,-2.8400,0.5632,0.5632
-1.5400,-2.8500,0.5622,0.5622
-1.5400,-2.8600,0.5614,0.5614
-1.5400,-2.8700,0.5608,0.5608
-1.5500,-2.8800,0.5704,0.5704
-1.5600,-2.8900,0.5801,0.5801
-1.5600,-2.9000,0.5800,0.5800
-1.5600,-2.9100,0.5800,0.5800
-1.5600,-2.9200,0.5800,0.5800
-1.5700,-2.9300,0.5900,0.5900
-1.5700,-2.9400,0.5900,0.5900
-1.5800,-2.9500,0.6000,0.6000
-1.5800,-2.9600,0.6000,0.6000
-1.5900,-2.9700,0.6100,0.6100
-1.5900,-2.9800,0.6100,0.6100
-1.6000,-2.9900,0.6200,0.6200
-1.6100,-3.0000,0.6300,0.6300
-1.6100,-3.0100,0.6300,0.6300
-1.6200,-3.0200,0.6400,0.6400
-1.6200,-3.0300,0.6400,0.6400
-1.6300,-3.0400,0.6500,0.6500
-1.6400,-3.0500,0.6600,0.6600
-1.6500,-3.0600,0.6700,0.6700
-1.6500,-3.0700,0.6700,0.6700
-1.6600,-3.0800,0.6800,0.6800
-1.6700,-3.0900,0.6900,0.6900
-1.6700,-3.1000,0.6900,0.6900
-1.6800,-3.1100,0.7000,0.7000
-1.6800,-3.1200,0.7000,0.7000
-1.6900,-3.1300,0.7100,0.7100
-1.6900,-3.1400,0.7100,0.7100
-1.7000,-3.1500,0.7112,0.7112
-1.7000,-3.1600,0.7151,0.7151
-1.7100,-3.1700,0.7120,0.7120
-1.7200,-3.1800,0.7083,0.7083
-1.7200,-3.1900,0.7134,0.7134
-1.7200,-3.2000,0.7169,0.7169
-1.7300,-3.2100,0.7156,0.7156
-1.7300,-3.2200,0.7159,0.7159
-1.7400,-3.2300,0.7185,0.7185
-1.7400,-3.2400,0.7155,0.7155
-1.7400,-3.2500,0.7111,0.7111
-1.7500,-3.2600,0.7155,0.7155
-1.7500,-3.2700,0.7111,0.7111
-1.7500,-3.2800,0.7066,0.7066
-1.7600,-3.2900,0.7111,0.7111
-1.7600,-3.3000,0.7066,0.7066
-1.7700,-3.3100,0.7111,0.7111
-1.7700,-3.3200,0.7066,0.7066
-1.7700,-3.3300,0.7021,0.7021
-1.7800,-3.3400,0.7068,0.7068
-1.7800,-3.3500,0.7026,0.7026
-1.7800,-3.3600,0.6986,0.6986
-1.7900,-3.3700,0.7038,0.7038
-1.8000,-3.3800,0.7094,0.7094
-1.8000,-3.3900,0.7058,0.7058
-1.8100,-3.4000,0.7117,0.7117
-1.8200,-3.4100,0.7169,0.7169
-1.8200,-3.4200,0.7131,0.7131
-1.8300,-3.4300,0.7187,0.7187
-1.8300,-3.4400,0.7151,0.7151
-1.8400,-3.4500,0.7211,0.7211
-1.8400,-3.4600,0.7178,0.7178
-1.8500,-3.4700,0.7242,0.7242
-1.8500,-3.4800,0.7211,0.7211
-1.8600,-3.4900,0.7273,0.7273
-1.8600,-3.5000,0.7242,0.7242
-1.8700,-3.5100,0.7308,0.7308
-1.8700,-3.5200,0.7280,0.7280
-1.8800,-3.5300,0.7350,0.7350
-1.8800,-3.5400,0.7325,0.7325
-1.8900,-3.5500,0.7398,0.7398
-1.8900,-3.5600,0.7376,0.7376
-1.8900,-3.5700,0.7355,0.7355
-1.9000,-3.5800,0.7433,0.7433
-1.9000,-3.5900,0.7415,0.7415
-1.9100,-3.6000,0.7495,0.7495
-1.9100,-3.6100,0.7473,0.7473
-1.9200,-3.6200,0.7550,0.7550
-1.9200,-3.6300,0.7529,0.7529
-1.9300,-3.6400,0.7596,0.7596
-1.9300,-3.6500,0.7569,0.7569
-1.9400,-3.6600,0.7640,0.7640
-1.9400,-3.6700,0.7616,0.7616
-1.9500,-3.6800,0.7684,0.7684
-1.9500,-3.6900,0.7648,0.7648
-1.9600,-3.7000,0.7692,0.7692
-1.9600,-3.7100,0.7648,0.7648
-1.9700,-3.7200,0.7692,0.7692
-1.9800,-3.7300,0.7737,0.7737
-1.9800,-3.7400,0.7692,0.7692
-1.9900,-3.7500,0.7737,0.7737
-1.9900,-3.7600,0.7692,0.7692
-2.0000,-3.7700,0.7737,0.7737
-2.0100,-3.7800,0.7782,0.7782
-2.0200,-3.7900,0.7801,0.7801
-2.0300,-3.8000,0.7780,0.7780
-2.0400,-3.8100,0.7762,0.7762
-2.0400,-3.8200,0.7824,0.7824
-2.0500,-3.8300,0.7810,0.7810
-2.0600,-3.8400,0.7782,0.7782
-2.0600,-3.8500,0.7826,0.7826
-2.0700,-3.8600,0.7783,0.7783
-2.0800,-3.8700,0.7741,0.7741
-2.0800,-3.8800,0.7790,0.7790
-2.0900,-3.8900,0.7752,0.7752
-2.1000,-3.9000,0.7718,0.7718
-2.1100,-3.9100,0.7685,0.7685
-2.1200,-3.9100,0.7601,0.7601
-2.1300,-3.9200,0.7572,0.7572
-2.1400,-3.9300,0.7545,0.7545
-2.1500,-3.9400,0.7521,0.7521
-2.1600,-3.9500,0.7495,0.7495
-2.1600,-3.9600,0.7547,0.7547
-2.1700,-3.9700,0.7517,0.7517
-2.1800,-3.9800,0.7489,0.7489
-2.1900,-3.9900,0.7463,0.7463
-2.2000,-4.0000,0.7433,0.7433
-2.2100,-4.0100,0.7406,0.7406
-2.2100,-4.0200,0.7463,0.7463
-2.2200,-4.0300,0.7440,0.7440
-2.2300,-4.0400,0.7420,0.7420
-2.2400,-4.0500,0.7403,0.7403
-2.2500,-4.0600,0.7388,0.7388
-2.2600,-4.0700,0.7376,0.7376
-2.2700,-4.0800,0.7366,0.7366
-2.2800,-4.0900,0.7359,0.7359
-2.2900,-4.1000,0.7355,0.7355
-2.3000,-4.1100,0.7350,0.7350
-2.3100,-4.1200,0.7324,0.7324
-2.3200,-4.1300,0.7290,0.7290
-2.3300,-4.1400,0.7247,0.7247
-2.3400,-4.1500,0.7207,0.7207
-2.3500,-4.1600,0.7169,0.7169
-2.3500,-4.1700,0.7220,0.7220
-2.3600,-4.1800,0.7187,0.7187
-2.3700,-4.1900,0.7151,0.7151
-2.3800,-4.2000,0.7094,0.7094
-2.3900,-4.2100,0.7038,0.7038
-2.4000,-4.2200,0.6986,0.6986
-2.4100,-4.2300,0.6935,0.6935
-2.4200,-4.2400,0.6888,0.6888
-2.4300,-4.2500,0.6843,0.6843
-2.4300,-4.2600,0.6888,0.6888
-2.4400,-4.2700,0.6848,0.6848
-2.4500,-4.2800,0.6810,0.6810
-2.4600,-4.2900,0.6774,0.6774
-2.4700,-4.3000,0.6742,0.6742
-2.4800,-4.3100,0.6712,0.6712
-2.4800,-4.3200,0.6768,0.6768
-2.4900,-4.3300,0.6742,0.6742
-2.5000,-4.3400,0.6712,0.6712
-2.5000,-4.3500,0.6768,0.6768
-2.5000,-4.3600,0.6824,0.6824
-2.5100,-4.3700,0.6801,0.6801
-2.5200,-4.3800,0.6780,0.6780
-2.5300,-4.3900,0.6762,0.6762
-2.5400,-4.4000,0.6748,0.6748
-2.5400,-4.4100,0.6812,0.6812
-2.5500,-4.4200,0.6801,0.6801
-2.5600,-4.4300,0.6794,0.6794
-2.5700,-4.4400,0.6790,0.6790
-2.5800,-4.4500,0.6788,0.6788
-2.5800,-4.4600,0.6788,0.6788
-2.5900,-4.4700,0.6790,0.6790
-2.6000,-4.4800,0.6754,0.6754
-2.6100,-4.4900,0.6708,0.6708
-2.6200,-4.5000,0.6664,0.6664
-2.6300,-4.5100,0.6619,0.6619
-2.6400,-4.5200,0.6576,0.6576
-2.6400,-4.5300,0.6624,0.6624
-2.6500,-4.5400,0.6586,0.6586
-2.6600,-4.5500,0.6551,0.6551
-2.6700,-4.5600,0.6519,0.6519
-2.6700,-4.5700,0.6573,0.6573
-2.6800,-4.5800,0.6546,0.6546
-2.6800,-4.5900,0.6603,0.6603
-2.6900,-4.6000,0.6580,0.6580
-2.7000,-4.6100,0.6560,0.6560
-2.7000,-4.6200,0.6622,0.6622
-2.7100,-4.6300,0.6607,0.6607
-2.7200,-4.6400,0.6595,0.6595
-2.7200,-4.6500,0.6648,0.6648
-2.7300,-4.6600,0.6653,0.6653
-2.7400,-4.6700,0.6648,0.6648
-2.7500,-4.6800,0.6647,0.6647
-2.7600,-4.6900,0.6648,0.6648
-2.7700,-4.7000,0.6631,0.6631
-2.7700,-4.7100,0.6640,0.6640
-2.7800,-4.7200,0.6621,0.6621
-2.7900,-4.7300,0.6574,0.6574
-2.8000,-4.7400,0.6530,0.6530
-2.8100,-4.7500,0.6488,0.6488
-2.8200,-4.7600,0.6450,0.6450
-2.8300,-4.7700,0.6414,0.6414
-2.8300,-4.7800,0.6466,0.6466
-2.8400,-4.7900,0.6435,0.6435
-2.8500,-4.8000,0.6407,0.6407
-2.8600,-4.8100,0.6382,0.6382
-2.8600,-4.8200,0.6440,0.6440
-2.8600,-4.8300,0.6500,0.6500
-2.8700,-4.8400,0.6482,0.6482
-2.8800,-4.8500,0.6466,0.6466
-2.8900,-4.8600,0.6454,0.6454
-2.8900,-4.8700,0.6507,0.6507
-2.9000,-4.8800,0.6512,0.6512
-2.9100,-4.8900,0.6507,0.6507
-2.9200,-4.9000,0.6505,0.6505
-2.9200,-4.9100,0.6466,0.6466
-2.9300,-4.9200,0.6482,0.6482
-2.9400,-4.9300,0.6500,0.6500
-2.9500,-4.9400,0.6519,0.6519
-2.9600,-4.9500,0.6530,0.6530
-2.9700,-4.9600,0.6544,0.6544
-2.9800,-4.9700,0.6560,0.6560
-2.9800,-4.9800,0.6500,0.6500
-2.9900,-4.9900,0.6522,0.6522
-3.0000,-5.0000,0.6531,0.6531
-3.0100,-5.0100,0.6485,0.6485
-3.0200,-5.0200,0.6441,0.6441
-3.0200,-5.0300,0.6488,0.6488
-3.0300,-5.0400,0.6450,0.6450
-3.0300,-5.0500,0.6485,0.6485
-3.0400,-5.0600,0.6360,0.6360
-3.0400,-5.0700,0.6332,0.6332
-3.0500,-5.0800,0.6210,0.6210
-3.0500,-5.0900,0.6185,0.6185
-3.0600,-5.1000,0.6064,0.6064
